task_id,pass@1,pass@5,pass@10,pass@20
HumanEval/163,0.0,0.0,0.0,0.0
HumanEval/28,0.0,0.0,0.0,0.0
HumanEval/6,0.0,0.0,0.0,0.0
HumanEval/70,0.0,0.0,0.0,0.0
HumanEval/62,0.0,0.0,0.0,0.0
HumanEval/57,0.0,0.0,0.0,0.0
HumanEval/35,0.0,0.0,0.0,0.0
HumanEval/26,0.0,0.0,0.0,0.0
HumanEval/139,0.0,0.0,0.0,0.0
HumanEval/22,0.0,0.0,0.0,0.0
HumanEval/151,0.0,0.0,0.0,0.0
HumanEval/108,0.0,0.0,0.0,0.0
HumanEval/8,0.0,0.0,0.0,0.0
HumanEval/7,0.0,0.0,0.0,0.0
HumanEval/23,0.0,0.0,0.0,0.0
HumanEval/55,0.0,0.0,0.0,0.0
HumanEval/59,0.12,0.4796514482081492,0.73924973107764,0.9426452439649553
HumanEval/129,0.0,0.0,0.0,0.0
HumanEval/161,0.0,0.0,0.0,0.0
HumanEval/143,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
HumanEval/50,0.0,0.0,0.0,0.0
HumanEval/155,0.0,0.0,0.0,0.0
HumanEval/107,0.07999999999999996,0.3468090328915071,0.5834467270072172,0.8442266367780593
HumanEval/56,0.050000000000000044,0.23041004671159315,0.41624763307384804,0.6806905580101457
HumanEval/114,0.0,0.0,0.0,0.0
HumanEval/71,0.0,0.0,0.0,0.0
HumanEval/1,0.0,0.0,0.0,0.0
HumanEval/40,0.30000000000000004,0.8392427589592538,0.9770827595419784,0.9996979671150232
HumanEval/152,0.17000000000000004,0.6143531358185261,0.8594864906551343,0.9847386894240581
HumanEval/87,0.0,0.0,0.0,0.0
HumanEval/138,0.0,0.0,0.0,0.0
HumanEval/39,0.0,0.0,0.0,0.0
HumanEval/148,0.0,0.0,0.0,0.0
HumanEval/86,0.0,0.0,0.0,0.0
HumanEval/156,0.0,0.0,0.0,0.0
HumanEval/149,0.0,0.0,0.0,0.0
HumanEval/97,0.0,0.0,0.0,0.0
HumanEval/12,0.0,0.0,0.0,0.0
HumanEval/45,0.0,0.0,0.0,0.0
HumanEval/135,0.0,0.0,0.0,0.0
HumanEval/44,0.0,0.0,0.0,0.0
HumanEval/77,0.0,0.0,0.0,0.0
HumanEval/33,0.0,0.0,0.0,0.0
HumanEval/103,0.0,0.0,0.0,0.0
HumanEval/5,0.0,0.0,0.0,0.0
HumanEval/93,0.0,0.0,0.0,0.0
HumanEval/58,0.0,0.0,0.0,0.0
HumanEval/68,0.0,0.0,0.0,0.0
HumanEval/15,0.0,0.0,0.0,0.0
HumanEval/48,0.0,0.0,0.0,0.0
HumanEval/10,0.0,0.0,0.0,0.0
HumanEval/160,0.0,0.0,0.0,0.0
HumanEval/37,0.0,0.0,0.0,0.0
HumanEval/106,0.040000000000000036,0.18812488444299935,0.34836945087313276,0.5966617574864997
HumanEval/80,0.0,0.0,0.0,0.0
HumanEval/79,0.0,0.0,0.0,0.0
HumanEval/46,0.12,0.4796514482081492,0.73924973107764,0.9426452439649553
HumanEval/73,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
HumanEval/24,0.0,0.0,0.0,0.0
HumanEval/90,0.0,0.0,0.0,0.0
HumanEval/153,0.040000000000000036,0.18812488444299935,0.34836945087313276,0.5966617574864997
HumanEval/119,0.0,0.0,0.0,0.0
HumanEval/84,0.0,0.0,0.0,0.0
HumanEval/29,0.0,0.0,0.0,0.0
HumanEval/98,0.0,0.0,0.0,0.0
HumanEval/111,0.0,0.0,0.0,0.0
HumanEval/113,0.0,0.0,0.0,0.0
HumanEval/100,0.0,0.0,0.0,0.0
HumanEval/126,0.0,0.0,0.0,0.0
HumanEval/142,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
HumanEval/157,0.0,0.0,0.0,0.0
HumanEval/117,0.0,0.0,0.0,0.0
HumanEval/81,0.0,0.0,0.0,0.0
HumanEval/141,0.0,0.0,0.0,0.0
HumanEval/20,0.0,0.0,0.0,0.0
HumanEval/47,0.0,0.0,0.0,0.0
HumanEval/125,0.0,0.0,0.0,0.0
HumanEval/146,0.0,0.0,0.0,0.0
HumanEval/85,0.0,0.0,0.0,0.0
HumanEval/34,0.0,0.0,0.0,0.0
HumanEval/82,0.0,0.0,0.0,0.0
HumanEval/9,0.0,0.0,0.0,0.0
HumanEval/122,0.0,0.0,0.0,0.0
HumanEval/21,0.0,0.0,0.0,0.0
HumanEval/116,0.0,0.0,0.0,0.0
HumanEval/31,0.0,0.0,0.0,0.0
HumanEval/89,0.0,0.0,0.0,0.0
HumanEval/147,0.050000000000000044,0.23041004671159315,0.41624763307384804,0.6806905580101457
HumanEval/94,0.0,0.0,0.0,0.0
HumanEval/101,0.0,0.0,0.0,0.0
HumanEval/133,0.0,0.0,0.0,0.0
HumanEval/162,0.0,0.0,0.0,0.0
HumanEval/41,0.0,0.0,0.0,0.0
HumanEval/150,0.0,0.0,0.0,0.0
HumanEval/96,0.07999999999999996,0.3468090328915071,0.5834467270072172,0.8442266367780593
HumanEval/4,0.0,0.0,0.0,0.0
HumanEval/136,0.040000000000000036,0.18812488444299935,0.34836945087313276,0.5966617574864997
HumanEval/51,0.0,0.0,0.0,0.0
HumanEval/74,0.0,0.0,0.0,0.0
HumanEval/120,0.0,0.0,0.0,0.0
