task_id,pass@1,pass@5,pass@10,pass@20
HumanEval/163,0.0,0.0,0.0,0.0
HumanEval/28,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
HumanEval/6,0.0,0.0,0.0,0.0
HumanEval/70,0.0,0.0,0.0,0.0
HumanEval/62,0.4,0.9489164086687306,0.9996427720885925,1.0
HumanEval/57,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
HumanEval/35,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
HumanEval/26,0.0,0.0,0.0,0.0
HumanEval/139,0.0,0.0,0.0,0.0
HumanEval/22,0.050000000000000044,0.25,0.5,1.0
HumanEval/151,0.0,0.0,0.0,0.0
HumanEval/108,0.0,0.0,0.0,0.0
HumanEval/8,0.25,0.8063080495356038,0.9837461300309598,1.0
HumanEval/7,0.35,0.9169891640866873,0.9984520123839009,1.0
HumanEval/23,0.65,0.9986455108359134,1.0,1.0
HumanEval/55,0.9,1.0,1.0,1.0
HumanEval/59,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
HumanEval/129,0.0,0.0,0.0,0.0
HumanEval/161,0.0,0.0,0.0,0.0
HumanEval/143,0.95,1.0,1.0,1.0
HumanEval/50,0.0,0.0,0.0,0.0
HumanEval/155,0.0,0.0,0.0,0.0
HumanEval/107,1.0,1.0,1.0,1.0
HumanEval/56,0.8,1.0,1.0,1.0
HumanEval/114,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
HumanEval/71,0.0,0.0,0.0,0.0
HumanEval/1,0.0,0.0,0.0,0.0
HumanEval/40,0.55,0.9918730650154799,1.0,1.0
HumanEval/152,0.85,1.0,1.0,1.0
HumanEval/87,0.0,0.0,0.0,0.0
HumanEval/138,0.0,0.0,0.0,0.0
HumanEval/39,0.0,0.0,0.0,0.0
HumanEval/148,0.0,0.0,0.0,0.0
HumanEval/86,0.0,0.0,0.0,0.0
HumanEval/156,0.85,1.0,1.0,1.0
HumanEval/149,0.0,0.0,0.0,0.0
HumanEval/97,0.0,0.0,0.0,0.0
HumanEval/12,0.5,0.9837461300309598,0.9999945874558878,1.0
HumanEval/45,0.25,0.8063080495356038,0.9837461300309598,1.0
HumanEval/135,0.0,0.0,0.0,0.0
HumanEval/44,0.35,0.9169891640866873,0.9984520123839009,1.0
HumanEval/77,0.0,0.0,0.0,0.0
HumanEval/33,0.0,0.0,0.0,0.0
HumanEval/103,0.0,0.0,0.0,0.0
HumanEval/5,0.0,0.0,0.0,0.0
HumanEval/93,0.0,0.0,0.0,0.0
HumanEval/58,0.4,0.9489164086687306,0.9996427720885925,1.0
HumanEval/68,0.55,0.9918730650154799,1.0,1.0
HumanEval/15,0.050000000000000044,0.25,0.5,1.0
HumanEval/48,0.8,1.0,1.0,1.0
HumanEval/10,0.0,0.0,0.0,0.0
HumanEval/160,0.0,0.0,0.0,0.0
HumanEval/37,0.0,0.0,0.0,0.0
HumanEval/106,0.0,0.0,0.0,0.0
HumanEval/80,0.0,0.0,0.0,0.0
HumanEval/79,0.0,0.0,0.0,0.0
HumanEval/46,0.7,0.9996130030959752,1.0,1.0
HumanEval/73,0.050000000000000044,0.25,0.5,1.0
HumanEval/24,0.0,0.0,0.0,0.0
HumanEval/90,0.0,0.0,0.0,0.0
HumanEval/153,0.050000000000000044,0.25,0.5,1.0
HumanEval/119,0.0,0.0,0.0,0.0
HumanEval/84,0.0,0.0,0.0,0.0
HumanEval/29,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
HumanEval/98,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
HumanEval/111,0.0,0.0,0.0,0.0
HumanEval/113,0.0,0.0,0.0,0.0
HumanEval/100,0.0,0.0,0.0,0.0
HumanEval/126,0.0,0.0,0.0,0.0
HumanEval/142,0.0,0.0,0.0,0.0
HumanEval/157,0.0,0.0,0.0,0.0
HumanEval/117,0.0,0.0,0.0,0.0
HumanEval/81,0.0,0.0,0.0,0.0
HumanEval/141,0.0,0.0,0.0,0.0
HumanEval/20,0.0,0.0,0.0,0.0
HumanEval/47,1.0,1.0,1.0,1.0
HumanEval/125,0.0,0.0,0.0,0.0
HumanEval/146,0.0,0.0,0.0,0.0
HumanEval/85,0.0,0.0,0.0,0.0
HumanEval/34,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
HumanEval/82,0.0,0.0,0.0,0.0
HumanEval/9,0.050000000000000044,0.25,0.5,1.0
HumanEval/122,0.0,0.0,0.0,0.0
HumanEval/21,0.7,0.9996130030959752,1.0,1.0
HumanEval/116,1.0,1.0,1.0,1.0
HumanEval/31,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
HumanEval/89,0.0,0.0,0.0,0.0
HumanEval/147,0.0,0.0,0.0,0.0
HumanEval/94,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
HumanEval/101,0.0,0.0,0.0,0.0
HumanEval/133,0.0,0.0,0.0,0.0
HumanEval/162,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
HumanEval/41,0.0,0.0,0.0,0.0
HumanEval/150,0.0,0.0,0.0,0.0
HumanEval/96,0.050000000000000044,0.25,0.5,1.0
HumanEval/4,0.44999999999999996,0.9702012383900929,0.9999404620147654,1.0
HumanEval/136,0.050000000000000044,0.25,0.5,1.0
HumanEval/51,0.0,0.0,0.0,0.0
HumanEval/74,0.0,0.0,0.0,0.0
HumanEval/120,0.0,0.0,0.0,0.0
