task_id,pass@1,pass@5,pass@10,pass@20
gsm8k_test_1309,0.0,0.0,0.0,0.0
gsm8k_test_228,0.050000000000000044,0.23041004671159315,0.41624763307384804,0.6806905580101457
gsm8k_test_51,0.0,0.0,0.0,0.0
gsm8k_test_563,0.21999999999999997,0.719593765341188,0.9273082917973563,0.9963054365912148
gsm8k_test_501,0.0,0.0,0.0,0.0
gsm8k_test_457,0.0,0.0,0.0,0.0
gsm8k_test_285,0.0,0.0,0.0,0.0
gsm8k_test_209,0.0,0.0,0.0,0.0
gsm8k_test_1116,0.36,0.8987280760476637,0.9912495374391099,0.9999633948983009
gsm8k_test_178,0.0,0.0,0.0,0.0
gsm8k_test_1209,0.0,0.0,0.0,0.0
gsm8k_test_864,0.0,0.0,0.0,0.0
gsm8k_test_65,0.0,0.0,0.0,0.0
gsm8k_test_61,0.0,0.0,0.0,0.0
gsm8k_test_191,0.0,0.0,0.0,0.0
gsm8k_test_447,0.0,0.0,0.0,0.0
gsm8k_test_476,0.0,0.0,0.0,0.0
gsm8k_test_1034,0.0,0.0,0.0,0.0
gsm8k_test_1232,0.0,0.0,0.0,0.0
gsm8k_test_54,0.0,0.0,0.0,0.0
gsm8k_test_1149,0.0,0.0,0.0,0.0
gsm8k_test_407,0.83,0.9999178084229631,0.9999999988765077,1.0
gsm8k_test_859,0.0,0.0,0.0,0.0
gsm8k_test_451,0.0,0.0,0.0,0.0
gsm8k_test_919,0.0,0.0,0.0,0.0
gsm8k_test_1206,0.0,0.0,0.0,0.0
gsm8k_test_569,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
gsm8k_test_13,0.020000000000000018,0.09797979797979794,0.19090909090909092,0.3616161616161616
gsm8k_test_326,0.0,0.0,0.0,0.0
gsm8k_test_865,0.0,0.0,0.0,0.0
gsm8k_test_696,0.0,0.0,0.0,0.0
gsm8k_test_318,0.0,0.0,0.0,0.0
gsm8k_test_440,0.0,0.0,0.0,0.0
gsm8k_test_689,0.0,0.0,0.0,0.0
gsm8k_test_189,0.0,0.0,0.0,0.0
gsm8k_test_778,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
gsm8k_test_198,0.0,0.0,0.0,0.0
gsm8k_test_735,0.26,0.7860367295934306,0.9584983179735282,0.9989011042168742
gsm8k_test_704,0.0,0.0,0.0,0.0
gsm8k_test_1236,0.0,0.0,0.0,0.0
gsm8k_test_541,0.0,0.0,0.0,0.0
gsm8k_test_88,0.0,0.0,0.0,0.0
gsm8k_test_940,0.0,0.0,0.0,0.0
gsm8k_test_1098,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
gsm8k_test_255,0.0,0.0,0.0,0.0
gsm8k_test_775,0.0,0.0,0.0,0.0
gsm8k_test_161,0.0,0.0,0.0,0.0
gsm8k_test_1130,0.0,0.0,0.0,0.0
gsm8k_test_600,0.0,0.0,0.0,0.0
gsm8k_test_1287,0.0,0.0,0.0,0.0
gsm8k_test_1266,0.0,0.0,0.0,0.0
gsm8k_test_740,0.08999999999999997,0.3823085419734904,0.6287242566803458,0.8780904113915247
gsm8k_test_1182,0.0,0.0,0.0,0.0
gsm8k_test_393,0.0,0.0,0.0,0.0
gsm8k_test_142,0.0,0.0,0.0,0.0
gsm8k_test_93,0.0,0.0,0.0,0.0
gsm8k_test_466,0.13,0.5092167068326863,0.768880443455181,0.9556804157911019
gsm8k_test_592,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
gsm8k_test_163,0.0,0.0,0.0,0.0
gsm8k_test_206,0.0,0.0,0.0,0.0
gsm8k_test_928,0.0,0.0,0.0,0.0
gsm8k_test_1301,0.0,0.0,0.0,0.0
gsm8k_test_747,0.0,0.0,0.0,0.0
gsm8k_test_333,0.020000000000000018,0.09797979797979794,0.19090909090909092,0.3616161616161616
gsm8k_test_758,0.0,0.0,0.0,0.0
gsm8k_test_727,0.0,0.0,0.0,0.0
gsm8k_test_429,0.0,0.0,0.0,0.0
gsm8k_test_546,0.0,0.0,0.0,0.0
gsm8k_test_146,0.0,0.0,0.0,0.0
gsm8k_test_1247,0.35,0.8902887490516357,0.9896585442462208,0.9999471259642124
gsm8k_test_1300,0.0,0.0,0.0,0.0
gsm8k_test_350,0.020000000000000018,0.09797979797979794,0.19090909090909092,0.3616161616161616
gsm8k_test_1093,0.0,0.0,0.0,0.0
gsm8k_test_334,0.040000000000000036,0.18812488444299935,0.34836945087313276,0.5966617574864997
gsm8k_test_946,0.0,0.0,0.0,0.0
gsm8k_test_777,0.0,0.0,0.0,0.0
gsm8k_test_552,0.020000000000000018,0.09797979797979794,0.19090909090909092,0.3616161616161616
gsm8k_test_1310,0.0,0.0,0.0,0.0
gsm8k_test_1140,0.0,0.0,0.0,0.0
gsm8k_test_449,0.0,0.0,0.0,0.0
gsm8k_test_664,0.0,0.0,0.0,0.0
gsm8k_test_114,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
gsm8k_test_469,0.0,0.0,0.0,0.0
gsm8k_test_646,0.0,0.0,0.0,0.0
gsm8k_test_821,0.0,0.0,0.0,0.0
gsm8k_test_548,0.0,0.0,0.0,0.0
gsm8k_test_135,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
gsm8k_test_432,0.0,0.0,0.0,0.0
gsm8k_test_1161,0.0,0.0,0.0,0.0
gsm8k_test_644,0.0,0.0,0.0,0.0
gsm8k_test_435,0.35,0.8902887490516357,0.9896585442462208,0.9999471259642124
gsm8k_test_1022,0.030000000000000027,0.14400123685837973,0.273469387755102,0.4918985776128634
gsm8k_test_810,0.0,0.0,0.0,0.0
gsm8k_test_1316,0.0,0.0,0.0,0.0
gsm8k_test_939,0.0,0.0,0.0,0.0
gsm8k_test_292,0.010000000000000009,0.050000000000000044,0.09999999999999998,0.19999999999999996
gsm8k_test_542,0.0,0.0,0.0,0.0
gsm8k_test_505,0.0,0.0,0.0,0.0
gsm8k_test_1103,0.0,0.0,0.0,0.0
gsm8k_test_538,0.050000000000000044,0.23041004671159315,0.41624763307384804,0.6806905580101457
