task_id,pass@1,pass@5,pass@10,pass@20
gsm8k_test_1309,0.0,0.0,0.0,0.0
gsm8k_test_228,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
gsm8k_test_51,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_563,0.0,0.0,0.0,0.0
gsm8k_test_501,0.0,0.0,0.0,0.0
gsm8k_test_457,0.0,0.0,0.0,0.0
gsm8k_test_285,0.0,0.0,0.0,0.0
gsm8k_test_209,0.0,0.0,0.0,0.0
gsm8k_test_1116,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_178,0.0,0.0,0.0,0.0
gsm8k_test_1209,0.0,0.0,0.0,0.0
gsm8k_test_864,0.0,0.0,0.0,0.0
gsm8k_test_65,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_61,0.0,0.0,0.0,0.0
gsm8k_test_191,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_447,0.0,0.0,0.0,0.0
gsm8k_test_476,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_1034,0.0,0.0,0.0,0.0
gsm8k_test_1232,0.0,0.0,0.0,0.0
gsm8k_test_54,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_1149,0.0,0.0,0.0,0.0
gsm8k_test_407,0.25,0.8063080495356038,0.9837461300309598,1.0
gsm8k_test_859,0.0,0.0,0.0,0.0
gsm8k_test_451,0.0,0.0,0.0,0.0
gsm8k_test_919,0.0,0.0,0.0,0.0
gsm8k_test_1206,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_569,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_13,0.0,0.0,0.0,0.0
gsm8k_test_326,0.0,0.0,0.0,0.0
gsm8k_test_865,0.0,0.0,0.0,0.0
gsm8k_test_696,0.0,0.0,0.0,0.0
gsm8k_test_318,0.0,0.0,0.0,0.0
gsm8k_test_440,0.0,0.0,0.0,0.0
gsm8k_test_689,0.0,0.0,0.0,0.0
gsm8k_test_189,0.0,0.0,0.0,0.0
gsm8k_test_778,0.0,0.0,0.0,0.0
gsm8k_test_198,0.0,0.0,0.0,0.0
gsm8k_test_735,0.0,0.0,0.0,0.0
gsm8k_test_704,0.0,0.0,0.0,0.0
gsm8k_test_1236,0.0,0.0,0.0,0.0
gsm8k_test_541,0.0,0.0,0.0,0.0
gsm8k_test_88,0.0,0.0,0.0,0.0
gsm8k_test_940,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_1098,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_255,0.0,0.0,0.0,0.0
gsm8k_test_775,0.0,0.0,0.0,0.0
gsm8k_test_161,0.0,0.0,0.0,0.0
gsm8k_test_1130,0.0,0.0,0.0,0.0
gsm8k_test_600,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_1287,0.0,0.0,0.0,0.0
gsm8k_test_1266,0.0,0.0,0.0,0.0
gsm8k_test_740,0.0,0.0,0.0,0.0
gsm8k_test_1182,0.0,0.0,0.0,0.0
gsm8k_test_393,0.0,0.0,0.0,0.0
gsm8k_test_142,0.0,0.0,0.0,0.0
gsm8k_test_93,0.0,0.0,0.0,0.0
gsm8k_test_466,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
gsm8k_test_592,0.0,0.0,0.0,0.0
gsm8k_test_163,0.0,0.0,0.0,0.0
gsm8k_test_206,0.0,0.0,0.0,0.0
gsm8k_test_928,0.0,0.0,0.0,0.0
gsm8k_test_1301,0.0,0.0,0.0,0.0
gsm8k_test_747,0.0,0.0,0.0,0.0
gsm8k_test_333,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_758,0.0,0.0,0.0,0.0
gsm8k_test_727,0.0,0.0,0.0,0.0
gsm8k_test_429,0.0,0.0,0.0,0.0
gsm8k_test_546,0.0,0.0,0.0,0.0
gsm8k_test_146,0.0,0.0,0.0,0.0
gsm8k_test_1247,0.0,0.0,0.0,0.0
gsm8k_test_1300,0.0,0.0,0.0,0.0
gsm8k_test_350,0.0,0.0,0.0,0.0
gsm8k_test_1093,0.0,0.0,0.0,0.0
gsm8k_test_334,0.0,0.0,0.0,0.0
gsm8k_test_946,0.0,0.0,0.0,0.0
gsm8k_test_777,0.0,0.0,0.0,0.0
gsm8k_test_552,0.0,0.0,0.0,0.0
gsm8k_test_1310,0.0,0.0,0.0,0.0
gsm8k_test_1140,0.0,0.0,0.0,0.0
gsm8k_test_449,0.0,0.0,0.0,0.0
gsm8k_test_664,0.0,0.0,0.0,0.0
gsm8k_test_114,0.0,0.0,0.0,0.0
gsm8k_test_469,0.0,0.0,0.0,0.0
gsm8k_test_646,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_821,0.0,0.0,0.0,0.0
gsm8k_test_548,0.0,0.0,0.0,0.0
gsm8k_test_135,0.0,0.0,0.0,0.0
gsm8k_test_432,0.0,0.0,0.0,0.0
gsm8k_test_1161,0.0,0.0,0.0,0.0
gsm8k_test_644,0.050000000000000044,0.25,0.5,1.0
gsm8k_test_435,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
gsm8k_test_1022,0.0,0.0,0.0,0.0
gsm8k_test_810,0.0,0.0,0.0,0.0
gsm8k_test_1316,0.0,0.0,0.0,0.0
gsm8k_test_939,0.0,0.0,0.0,0.0
gsm8k_test_292,0.0,0.0,0.0,0.0
gsm8k_test_542,0.0,0.0,0.0,0.0
gsm8k_test_505,0.0,0.0,0.0,0.0
gsm8k_test_1103,0.0,0.0,0.0,0.0
gsm8k_test_538,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
