task_id,pass@1,pass@5,pass@10,pass@20
338,0.0,0.0,0.0,0.0
68,0.050000000000000044,0.25,0.5,1.0
23,0.050000000000000044,0.25,0.5,1.0
390,0.0,0.0,0.0,0.0
151,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
136,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
82,0.050000000000000044,0.25,0.5,1.0
388,0.050000000000000044,0.25,0.5,1.0
63,0.050000000000000044,0.25,0.5,1.0
357,0.0,0.0,0.0,0.0
507,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
467,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0
227,0.4,0.9489164086687306,0.9996427720885925,1.0
27,0.25,0.8063080495356038,0.9837461300309598,1.0
26,0.0,0.0,0.0,0.0
58,0.30000000000000004,0.8708720330237358,0.9945820433436533,1.0
122,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
269,0.35,0.9169891640866873,0.9984520123839009,1.0
319,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
24,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0
112,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
377,0.25,0.8063080495356038,0.9837461300309598,1.0
343,0.050000000000000044,0.25,0.5,1.0
370,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
240,0.25,0.8063080495356038,0.9837461300309598,1.0
312,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
425,0.050000000000000044,0.25,0.5,1.0
456,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
14,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
368,0.050000000000000044,0.25,0.5,1.0
494,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
475,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
90,0.050000000000000044,0.25,0.5,1.0
121,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
194,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
444,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
320,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
146,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0
33,0.050000000000000044,0.25,0.5,1.0
384,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
204,0.4,0.9489164086687306,0.9996427720885925,1.0
51,0.25,0.8063080495356038,0.9837461300309598,1.0
293,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
161,0.44999999999999996,0.9702012383900929,0.9999404620147654,1.0
435,0.5,0.9837461300309598,0.9999945874558878,1.0
332,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
327,0.0,0.0,0.0,0.0
196,0.4,0.9489164086687306,0.9996427720885925,1.0
306,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
46,0.35,0.9169891640866873,0.9984520123839009,1.0
34,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
127,0.44999999999999996,0.9702012383900929,0.9999404620147654,1.0
406,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
455,0.15000000000000002,0.6008771929824561,0.8947368421052632,1.0
489,0.0,0.0,0.0,0.0
62,0.44999999999999996,0.9702012383900929,0.9999404620147654,1.0
458,0.44999999999999996,0.9702012383900929,0.9999404620147654,1.0
465,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
243,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0
197,0.09999999999999998,0.4473684210526315,0.7631578947368421,1.0
94,0.0,0.0,0.0,0.0
200,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
192,0.19999999999999996,0.7182662538699691,0.956656346749226,1.0
118,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
