task_id,pass@1,pass@5,pass@10,pass@20
338,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0
507,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0
456,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
368,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0
327,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0
489,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
458,0.0,0.0,0.0,0.0
465,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
